combination,lift
"('saturn', 'wish')",0.002304147465437788
"('saturn', 'own')",0.004629629629629629
"('saturn', 'dream')",0.007936507936507936
"('saturn', 'expensive')",0.002232142857142857
"('saturn', 'class')",0.002186588921282799
"('saturn', 'smooth')",0.003246753246753247
"('saturn', 'favorite')",0.0035714285714285713
"('saturn', 'brand')",0.00234192037470726
"('subaru', 'style')",0.002347417840375587
"('subaru', 'buy')",0.0025951557093425604
"('subaru', 'wish')",0.008064516129032258
"('subaru', 'own')",0.008487654320987654
"('subaru', 'class')",0.004251700680272109
"('subaru', 'smooth')",0.007575757575757576
"('subaru', 'pricey')",0.009259259259259259
"('subaru', 'favorite')",0.008333333333333333
"('subaru', 'brand')",0.00273224043715847
"('suzuki', 'own')",0.004629629629629629
"('suzuki', 'class')",0.00510204081632653
"('toyota', 'luxury')",0.012903225806451613
"('toyota', 'lux')",0.1935483870967742
"('toyota', 'grace')",0.03225806451612903
"('toyota', 'style')",0.007496592457973648
"('toyota', 'buy')",0.005971648621497935
"('toyota', 'wish')",0.003121748178980229
"('toyota', 'own')",0.017174432497013142
"('toyota', 'dream')",0.008960573476702509
"('toyota', 'expensive')",0.007056451612903226
"('toyota', 'class')",0.008722843976300198
"('toyota', 'smooth')",0.008064516129032258
"('toyota', 'pricey')",0.007168458781362007
"('toyota', 'favorite')",0.00967741935483871
"('toyota', 'brand')",0.009518773135906928
"('volkswagen', 'buy')",0.006920415224913495
"('volkswagen', 'own')",0.037037037037037035
"('volkswagen', 'expensive')",0.03125
"('volkswagen', 'class')",0.02040816326530612
"('volkswagen', 'smooth')",0.022727272727272728
"('volvo', 'buy')",0.0011534025374855825
"('volvo', 'own')",0.009259259259259259
"('volvo', 'expensive')",0.010416666666666666
"('volvo', 'smooth')",0.007575757575757576
"('volvo', 'brand')",0.00546448087431694
